,Adresse,lat,lon,Firmen,Telbuch
2363,"Dersbachstrasse 60, 6333 Hünenberg See",47.1717968,8.4509498,1,2
2372,"Dersbachstrasse 65, 6333 Hünenberg See",47.1702525,8.4526618,1,0
2373,"Dersbachstrasse 52, 6333 Hünenberg See",47.1716266,8.4508674,1,1
2375,"Dersbachstrasse 180, 6333 Hünenberg See",47.1695654,8.4516479,1,1
2378,"Dersbach 27, 6333 Hünenberg See",47.1661229,8.4537575,1,3
2380,"Dersbach 8, 6343 Risch",47.1632503,8.455114199999999,1,0
2382,"Dersbachstrasse 156B, 6333 Hünenberg See",47.1703353,8.4514234,1,1
2383,"Dersbachstrasse 162, 6333 Hünenberg See",47.1703535,8.4503816,1,4
2385,"Dersbachstrasse 42, 6333 Hünenberg See",47.1721681,8.4506666,1,1
2386,"Dersbachstrasse 21, 6333 Hünenberg See",47.1722676,8.4516183,1,2
2388,"Dersbachstrasse 303A, 6333 Hünenberg See",47.1655746,8.449618599999999,1,1
2389,"Dersbachstrasse 310, 6333 Hünenberg See",47.1660036,8.4509589,1,1
2390,"Dersbachstrasse 316C, 6333 Hünenberg See",47.1664124,8.450505,1,1
2392,"Dersbachstrasse 318C, 6333 Hünenberg See",47.1659529,8.450588600000001,1,2
2393,"Dersbachstrasse 323B, 6333 Hünenberg See",47.1656312,8.4483556,1,0
2411,"Eichengasse 8, 6331 Hünenberg",47.176253,8.426786,1,7
2415,"Eichhof 1, 6333 Hünenberg See",47.1678783,8.4464437,1,1
2416,"Edlibachstrasse , 6345 Neuheim",47.1924986,8.571029500000002,1,29
2438,"Dersbach 1, 6333 Hünenberg See",47.169705,8.4525195,1,24
2494,"Chuenz 2, 631302 Edlibach",13.1033391,9.3690831,1,0
2551,"Floraweg 21, 634302 Buonas",47.14129390000001,8.4522991,1,0
2594,"Geissmatt 1, 6314 Unterägeri",47.0543531,8.2982476,1,1
2600,"Gartenstrasse 46, 6343 Buonas",47.14221,8.45593,1,0
2616,"Eichrüti 41, 6333 Hünenberg See",47.1653557,8.446884200000001,1,4
2618,"Eichrüti 47, 6333 Hünenberg See",47.1649902,8.446508,1,5
2619,"Eichrüti 49, 6333 Hünenberg See",47.1648743,8.446387099999999,1,4
2628,"Erlenring 1, 6300 Zug",50.8077297,8.7745011,1,0
2634,"Eichrüti 33, 6333 Hünenberg See",47.1661069,8.4473864,1,2
2635,"Eichrüti 3, 6333 Hünenberg See",47.1670484,8.4477339,1,21
2637,"Eichmattstrasse 112A, 6333 Hünenberg See",47.1793972,8.4438505,1,1
2645,"Eichmattstrasse 107B, 6333 Hünenberg See",47.1800588,8.442182299999999,1,0
2648,"Eichmattstrasse 126A, 6333 Hünenberg See",47.1801216,8.4433099,1,1
2649,"Eichmattstrasse 99, 6333 Hünenberg See",47.1791889,8.443098899999999,1,1
2650,"Eichrüti 10, 6333 Hünenberg See",47.16710579999999,8.448368100000001,1,1
2653,"Eichrüti 21c, 6333 Hünenberg See",47.1680954,8.4483604,1,5
2654,"Eichrüti 23A, 6333 Hünenberg See",47.1683026,8.448324699999999,1,3
2655,"Eichrüti 23a, 6333 Hünenberg See",47.1683026,8.448324699999999,1,3
2672,"Fischmarkt , 6300 Zug",47.16616,8.5147195,1,26
2743,"Althusweg 12, 631503 Oberägeri",47.1042077,8.6414298,1,0
2812," , 631302 Edlibach",13.1033391,9.3690831,1,0
2817," , 6341 Baar",47.1953729,8.526087,1,48
2830,"Aegeristrasse 46, 6300 Zug",47.16640599999999,8.5185003,1,2
2898,"Bergstrasse , 6318 Walchwil",49.6741701,8.605526500000002,1,0
